詩句（漢字）,閩南語文讀音,工尺譜字（旋律）,板眼（節奏）,簡譜對照,吟唱唱腔提示
床,tshông,工,× （板）,3,平聲舒緩，拉長一整拍
前,tsîan,尺,〇 （眼）,2,順勢下滑至「尺」音
明,bîng,六,× （板）,5,音高往上跳到「六」
月,gua̍t,工,〇 （眼）,3,入聲字，短促點到即止
光,kong,六 工 尺 上,× （板）,5 3 2 1,尾字大轉腔，由高到低
—,（延音）,上,〇 （眼）,1,延音收尾
疑,gî,尺,× （板）,2,平起穩定
是,sī,工,〇 （眼）,3,去聲字，音調微揚
地,tē,六,× （板）,5,去聲字，推向高音
上,siōng,工,〇 （眼）,3,順著字音往下滑
霜,song,尺 工 尺 上,× （板）,2 3 2 1,結尾悠揚轉腔
—,（延音）,上,〇 （眼）,1,完結圓滿收尾
舉,gí,六,× （板）,5,高音推起
頭,thâu,五,〇 （眼）,6,平聲字順接
望,bōng,六,× （板）,5,去聲加強
明,bîng,工,〇 （眼）,3,音調微落
月,gua̍t,尺,× （板）,2,入聲短促
—,（延音）,工,〇 （眼）,3,過渡音拉長
低,te,尺,× （板）,2,平穩轉折
頭,thâu,工,〇 （眼）,3,平聲低吟
思,su,六,× （板）,5,音高再揚
故,kòo,工,〇 （眼）,3,去聲微頓
鄉,hiong,尺 工 尺 上,× （板）,2 3 2 1,結尾悠揚轉腔
—,（延音）,上,〇 （眼）,1,完結圓滿收尾
